text,icon,code,weather_time,city
Moderate or heavy rain with thunder,//cdn.weatherapi.com/weather/64x64/night/389.png,1276,2023-11-26 19:15,Chennai
Moderate or heavy rain with thunder,//cdn.weatherapi.com/weather/64x64/night/389.png,1276,2023-11-26 19:15,Mumbai
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,1063,2023-11-26 19:15,Pune
Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,2023-11-26 19:15,Hyderabad
Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,2023-11-26 19:15,Bengaluru
Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/night/356.png,1243,2023-11-26 19:15,Surat
Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,2023-11-26 19:15,Kolkata
Moderate or heavy rain with thunder,//cdn.weatherapi.com/weather/64x64/night/389.png,1276,2023-11-26 19:15,Ahmedabad
Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,2023-11-26 19:15,Visakhapatnam
Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,2023-11-26 19:15,Madurai
