text,icon,code,weather_time,city
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:30,Chennai
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:30,Mumbai
Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,2023-11-28 07:30,Pune
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:30,Hyderabad
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:30,Bengaluru
Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2023-11-28 07:30,Surat
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:30,Kolkata
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:30,Ahmedabad
Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2023-11-28 07:30,Visakhapatnam
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-28 07:30,Madurai
